athlete	team	medal	year	sport
athlete_031238	Italy	NA	2018	sport_38
athlete_031239	France	NA	2019	sport_39
athlete_031240	United States	NA	2000	sport_0
athlete_031241	Japan	NA	2001	sport_1
athlete_031242	Japan	Silver	2002	sport_2
athlete_031243	United States	NA	2003	sport_3
athlete_031244	Germany	Bronze	2004	sport_4
athlete_031245	Italy	Silver	2005	sport_5
athlete_031246	Kenya	NA	2006	sport_6
athlete_031247	France	Gold	2007	sport_7
athlete_031248	Germany	Bronze	2008	sport_8
athlete_031249	United States	Gold	2009	sport_9
athlete_031250	United States	Silver	2010	sport_10
athlete_031251	France	NA	2011	sport_11
athlete_031252	United States	Gold	2012	sport_12
athlete_031253	Kenya	NA	2013	sport_13
athlete_031254	Italy	Gold	2014	sport_14
athlete_031255	Soviet Union	Bronze	2015	sport_15
athlete_031256	Japan	NA	2016	sport_16
athlete_031257	Soviet Union	Bronze	2017	sport_17
athlete_031258	United States	Silver	2018	sport_18
athlete_031259	Italy	NA	2019	sport_19
athlete_031260	Italy	NA	2000	sport_20
athlete_031261	Germany	NA	2001	sport_21
athlete_031262	Italy	Bronze	2002	sport_22
athlete_031263	United States	NA	2003	sport_23
athlete_031264	Italy	NA	2004	sport_24
athlete_031265	United States	Bronze	2005	sport_25
athlete_031266	Kenya	NA	2006	sport_26
athlete_031267	Germany	Silver	2007	sport_27
athlete_031268	Germany	Bronze	2008	sport_28
athlete_031269	Kenya	NA	2009	sport_29
athlete_031270	United States	Gold	2010	sport_30
athlete_031271	Soviet Union	Gold	2011	sport_31
athlete_031272	Italy	NA	2012	sport_32
athlete_031273	Soviet Union	NA	2013	sport_33
athlete_031274	Kenya	NA	2014	sport_34
athlete_031275	Germany	Silver	2015	sport_35
athlete_031276	Germany	NA	2016	sport_36
athlete_031277	United States	Gold	2017	sport_37
athlete_031278	France	Silver	2018	sport_38
athlete_031279	Germany	NA	2019	sport_39
athlete_031280	United States	NA	2000	sport_0
athlete_031281	United States	NA	2001	sport_1
athlete_031282	Germany	Bronze	2002	sport_2
athlete_031283	United States	NA	2003	sport_3
athlete_031284	Japan	Silver	2004	sport_4
athlete_031285	Soviet Union	NA	2005	sport_5
athlete_031286	Soviet Union	Gold	2006	sport_6
athlete_031287	United States	NA	2007	sport_7
athlete_031288	Japan	Silver	2008	sport_8
athlete_031289	Soviet Union	Silver	2009	sport_9
athlete_031290	Soviet Union	NA	2010	sport_10
athlete_031291	Soviet Union	NA	2011	sport_11
athlete_031292	France	NA	2012	sport_12
athlete_031293	France	Silver	2013	sport_13
athlete_031294	France	NA	2014	sport_14
athlete_031295	Italy	Bronze	2015	sport_15
athlete_031296	France	Silver	2016	sport_16
athlete_031297	Germany	NA	2017	sport_17
athlete_031298	United States	Gold	2018	sport_18
athlete_031299	Kenya	Gold	2019	sport_19
athlete_031300	Italy	NA	2000	sport_20
athlete_031301	Kenya	Silver	2001	sport_21
athlete_031302	United States	Gold	2002	sport_22
athlete_031303	Italy	Silver	2003	sport_23
athlete_031304	France	Bronze	2004	sport_24
athlete_031305	France	NA	2005	sport_25
athlete_031306	Kenya	Bronze	2006	sport_26
athlete_031307	United States	NA	2007	sport_27
athlete_031308	Soviet Union	Silver	2008	sport_28
athlete_031309	Japan	Gold	2009	sport_29
athlete_031310	France	NA	2010	sport_30
athlete_031311	Italy	Gold	2011	sport_31
athlete_031312	United States	NA	2012	sport_32
athlete_031313	Italy	Silver	2013	sport_33
athlete_031314	Kenya	Silver	2014	sport_34
athlete_031315	Germany	NA	2015	sport_35
athlete_031316	United States	NA	2016	sport_36
athlete_031317	United States	Silver	2017	sport_37
athlete_031318	Germany	NA	2018	sport_38
athlete_031319	Italy	NA	2019	sport_39
athlete_031320	Italy	NA	2000	sport_0
athlete_031321	United States	NA	2001	sport_1
athlete_031322	Italy	Bronze	2002	sport_2
athlete_031323	United States	Gold	2003	sport_3
athlete_031324	United States	NA	2004	sport_4
athlete_031325	Soviet Union	Silver	2005	sport_5
athlete_031326	Italy	Bronze	2006	sport_6
athlete_031327	Japan	NA	2007	sport_7
athlete_031328	France	NA	2008	sport_8
athlete_031329	Japan	Silver	2009	sport_9
athlete_031330	Italy	NA	2010	sport_10
athlete_031331	France	Silver	2011	sport_11
athlete_031332	Italy	NA	2012	sport_12
athlete_031333	France	Gold	2013	sport_13
athlete_031334	Italy	Gold	2014	sport_14
athlete_031335	United States	Gold	2015	sport_15
athlete_031336	Italy	Silver	2016	sport_16
athlete_031337	United States	NA	2017	sport_17
athlete_031338	France	Silver	2018	sport_18
athlete_031339	United States	NA	2019	sport_19
athlete_031340	Japan	Silver	2000	sport_20
athlete_031341	Italy	Silver	2001	sport_21
athlete_031342	Soviet Union	NA	2002	sport_22
athlete_031343	United States	Bronze	2003	sport_23
athlete_031344	Kenya	Silver	2004	sport_24
athlete_031345	Germany	NA	2005	sport_25
athlete_031346	Soviet Union	Bronze	2006	sport_26
athlete_031347	Japan	Gold	2007	sport_27
athlete_031348	Germany	Gold	2008	sport_28
athlete_031349	United States	NA	2009	sport_29
athlete_031350	United States	Gold	2010	sport_30
athlete_031351	Germany	NA	2011	sport_31
athlete_031352	United States	Bronze	2012	sport_32
athlete_031353	Kenya	Bronze	2013	sport_33
athlete_031354	Germany	Silver	2014	sport_34
athlete_031355	France	Bronze	2015	sport_35
athlete_031356	Kenya	Silver	2016	sport_36
athlete_031357	Soviet Union	Silver	2017	sport_37
athlete_031358	Japan	Silver	2018	sport_38
athlete_031359	Italy	NA	2019	sport_39
athlete_031360	United States	NA	2000	sport_0
athlete_031361	Germany	Gold	2001	sport_1
athlete_031362	United States	Bronze	2002	sport_2
athlete_031363	Soviet Union	NA	2003	sport_3
athlete_031364	Japan	Silver	2004	sport_4
athlete_031365	Japan	NA	2005	sport_5
athlete_031366	Japan	NA	2006	sport_6
athlete_031367	United States	NA	2007	sport_7
athlete_031368	United States	NA	2008	sport_8
athlete_031369	United States	NA	2009	sport_9
athlete_031370	Germany	NA	2010	sport_10
athlete_031371	United States	Silver	2011	sport_11
athlete_031372	Kenya	NA	2012	sport_12
athlete_031373	France	Gold	2013	sport_13
athlete_031374	Japan	Silver	2014	sport_14
athlete_031375	France	Silver	2015	sport_15
athlete_031376	Japan	Bronze	2016	sport_16
athlete_031377	Soviet Union	NA	2017	sport_17
athlete_031378	Soviet Union	Silver	2018	sport_18
athlete_031379	Italy	NA	2019	sport_19
athlete_031380	Italy	Bronze	2000	sport_20
athlete_031381	Soviet Union	NA	2001	sport_21
athlete_031382	Italy	NA	2002	sport_22
athlete_031383	France	Silver	2003	sport_23
athlete_031384	Soviet Union	NA	2004	sport_24
athlete_031385	United States	NA	2005	sport_25
athlete_031386	France	Gold	2006	sport_26
athlete_031387	Soviet Union	NA	2007	sport_27
athlete_031388	France	NA	2008	sport_28
athlete_031389	Kenya	NA	2009	sport_29
athlete_031390	United States	NA	2010	sport_30
athlete_031391	Germany	NA	2011	sport_31
athlete_031392	France	Bronze	2012	sport_32
athlete_031393	Japan	NA	2013	sport_33
athlete_031394	United States	NA	2014	sport_34
athlete_031395	United States	Bronze	2015	sport_35
athlete_031396	France	Bronze	2016	sport_36
athlete_031397	Germany	Bronze	2017	sport_37
athlete_031398	United States	Silver	2018	sport_38
athlete_031399	France	Silver	2019	sport_39
athlete_031400	Germany	Gold	2000	sport_0
athlete_031401	Soviet Union	NA	2001	sport_1
athlete_031402	Italy	NA	2002	sport_2
athlete_031403	United States	NA	2003	sport_3
athlete_031404	Japan	Bronze	2004	sport_4
athlete_031405	France	NA	2005	sport_5
athlete_031406	Italy	Bronze	2006	sport_6
athlete_031407	United States	NA	2007	sport_7
athlete_031408	Germany	Bronze	2008	sport_8
athlete_031409	Kenya	NA	2009	sport_9
athlete_031410	France	Bronze	2010	sport_10
athlete_031411	Kenya	NA	2011	sport_11
athlete_031412	Germany	Gold	2012	sport_12
athlete_031413	Soviet Union	Silver	2013	sport_13
athlete_031414	United States	NA	2014	sport_14
athlete_031415	United States	NA	2015	sport_15
athlete_031416	United States	Bronze	2016	sport_16
athlete_031417	Soviet Union	NA	2017	sport_17
athlete_031418	United States	Bronze	2018	sport_18
athlete_031419	United States	Bronze	2019	sport_19
athlete_031420	Italy	Gold	2000	sport_20
athlete_031421	Kenya	NA	2001	sport_21
athlete_031422	United States	Bronze	2002	sport_22
athlete_031423	United States	NA	2003	sport_23
athlete_031424	United States	NA	2004	sport_24
athlete_031425	France	NA	2005	sport_25
athlete_031426	United States	NA	2006	sport_26
athlete_031427	Germany	Silver	2007	sport_27
athlete_031428	Japan	NA	2008	sport_28
athlete_031429	United States	Bronze	2009	sport_29
athlete_031430	Japan	Gold	2010	sport_30
athlete_031431	United States	NA	2011	sport_31
athlete_031432	Kenya	Silver	2012	sport_32
athlete_031433	United States	NA	2013	sport_33
athlete_031434	Kenya	NA	2014	sport_34
athlete_031435	Italy	NA	2015	sport_35
athlete_031436	United States	Gold	2016	sport_36
athlete_031437	Germany	Gold	2017	sport_37
athlete_031438	Soviet Union	NA	2018	sport_38
athlete_031439	France	Silver	2019	sport_39
athlete_031440	Germany	Silver	2000	sport_0
athlete_031441	Japan	Gold	2001	sport_1
athlete_031442	Soviet Union	NA	2002	sport_2
athlete_031443	Soviet Union	Gold	2003	sport_3
athlete_031444	Japan	NA	2004	sport_4
athlete_031445	Kenya	Gold	2005	sport_5
athlete_031446	Japan	Gold	2006	sport_6
athlete_031447	Soviet Union	NA	2007	sport_7
athlete_031448	France	NA	2008	sport_8
athlete_031449	United States	Gold	2009	sport_9
athlete_031450	Japan	Bronze	2010	sport_10
athlete_031451	United States	Bronze	2011	sport_11
athlete_031452	Germany	Bronze	2012	sport_12
athlete_031453	Kenya	Bronze	2013	sport_13
athlete_031454	Japan	NA	2014	sport_14
athlete_031455	Germany	NA	2015	sport_15
athlete_031456	Germany	NA	2016	sport_16
athlete_031457	Japan	NA	2017	sport_17
athlete_031458	Italy	NA	2018	sport_18
athlete_031459	Germany	NA	2019	sport_19
athlete_031460	Germany	NA	2000	sport_20
athlete_031461	France	Bronze	2001	sport_21
athlete_031462	United States	Gold	2002	sport_22
athlete_031463	United States	Bronze	2003	sport_23
athlete_031464	United States	NA	2004	sport_24
athlete_031465	United States	Bronze	2005	sport_25
athlete_031466	Soviet Union	NA	2006	sport_26
athlete_031467	United States	NA	2007	sport_27
athlete_031468	Germany	Bronze	2008	sport_28
athlete_031469	Kenya	Gold	2009	sport_29
athlete_031470	Germany	NA	2010	sport_30
athlete_031471	United States	Silver	2011	sport_31
athlete_031472	Soviet Union	NA	2012	sport_32
athlete_031473	United States	NA	2013	sport_33
athlete_031474	United States	Silver	2014	sport_34
athlete_031475	United States	NA	2015	sport_35
athlete_031476	France	NA	2016	sport_36
athlete_031477	United States	Bronze	2017	sport_37
athlete_031478	Kenya	Silver	2018	sport_38
athlete_031479	United States	Silver	2019	sport_39
athlete_031480	Germany	Gold	2000	sport_0
athlete_031481	Germany	NA	2001	sport_1
athlete_031482	France	Bronze	2002	sport_2
athlete_031483	United States	Bronze	2003	sport_3
athlete_031484	Soviet Union	Silver	2004	sport_4
athlete_031485	United States	NA	2005	sport_5
athlete_031486	Kenya	NA	2006	sport_6
athlete_031487	Soviet Union	Gold	2007	sport_7
athlete_031488	United States	Silver	2008	sport_8
athlete_031489	Italy	Bronze	2009	sport_9
athlete_031490	United States	NA	2010	sport_10
athlete_031491	Soviet Union	NA	2011	sport_11
athlete_031492	Kenya	Gold	2012	sport_12
athlete_031493	Italy	Silver	2013	sport_13
athlete_031494	Germany	Silver	2014	sport_14
athlete_031495	Germany	Gold	2015	sport_15
athlete_031496	Germany	Bronze	2016	sport_16
athlete_031497	United States	NA	2017	sport_17
athlete_031498	United States	NA	2018	sport_18
athlete_031499	United States	Silver	2019	sport_19
athlete_031500	United States	NA	2000	sport_20
athlete_031501	United States	NA	2001	sport_21
athlete_031502	Japan	Gold	2002	sport_22
athlete_031503	France	Bronze	2003	sport_23
athlete_031504	Germany	NA	2004	sport_24
athlete_031505	France	NA	2005	sport_25
athlete_031506	Germany	NA	2006	sport_26
athlete_031507	United States	Bronze	2007	sport_27
athlete_031508	Japan	NA	2008	sport_28
athlete_031509	France	NA	2009	sport_29
athlete_031510	Kenya	Gold	2010	sport_30
athlete_031511	Germany	NA	2011	sport_31
athlete_031512	Kenya	NA	2012	sport_32
athlete_031513	France	Silver	2013	sport_33
athlete_031514	Japan	Silver	2014	sport_34
athlete_031515	United States	Bronze	2015	sport_35
athlete_031516	Kenya	NA	2016	sport_36
athlete_031517	United States	NA	2017	sport_37
athlete_031518	France	NA	2018	sport_38
athlete_031519	United States	Silver	2019	sport_39
athlete_031520	Soviet Union	Gold	2000	sport_0
athlete_031521	Italy	NA	2001	sport_1
athlete_031522	Italy	Gold	2002	sport_2
athlete_031523	United States	Silver	2003	sport_3
athlete_031524	France	NA	2004	sport_4
athlete_031525	Italy	NA	2005	sport_5
athlete_031526	France	NA	2006	sport_6
athlete_031527	Germany	NA	2007	sport_7
athlete_031528	United States	Bronze	2008	sport_8
athlete_031529	Germany	Gold	2009	sport_9
athlete_031530	Kenya	NA	2010	sport_10
athlete_031531	United States	Gold	2011	sport_11
athlete_031532	Soviet Union	NA	2012	sport_12
athlete_031533	Italy	Gold	2013	sport_13
athlete_031534	United States	Bronze	2014	sport_14
athlete_031535	United States	NA	2015	sport_15
athlete_031536	United States	NA	2016	sport_16
athlete_031537	Germany	NA	2017	sport_17
athlete_031538	France	NA	2018	sport_18
athlete_031539	Germany	NA	2019	sport_19
athlete_031540	Japan	NA	2000	sport_20
athlete_031541	Germany	NA	2001	sport_21
athlete_031542	United States	Bronze	2002	sport_22
athlete_031543	United States	Gold	2003	sport_23
athlete_031544	United States	NA	2004	sport_24
athlete_031545	Soviet Union	Gold	2005	sport_25
athlete_031546	Italy	NA	2006	sport_26
athlete_031547	Soviet Union	Silver	2007	sport_27
athlete_031548	France	Gold	2008	sport_28
athlete_031549	United States	Gold	2009	sport_29
athlete_031550	France	NA	2010	sport_30
athlete_031551	France	Silver	2011	sport_31
athlete_031552	Japan	Silver	2012	sport_32
athlete_031553	United States	NA	2013	sport_33
athlete_031554	France	NA	2014	sport_34
athlete_031555	Italy	Bronze	2015	sport_35
athlete_031556	United States	Gold	2016	sport_36
athlete_031557	Kenya	NA	2017	sport_37
athlete_031558	Germany	NA	2018	sport_38
athlete_031559	Germany	Bronze	2019	sport_39
athlete_031560	Japan	Bronze	2000	sport_0
athlete_031561	United States	Silver	2001	sport_1
athlete_031562	France	Gold	2002	sport_2
athlete_031563	United States	NA	2003	sport_3
athlete_031564	Germany	NA	2004	sport_4
athlete_031565	United States	Gold	2005	sport_5
athlete_031566	Germany	Silver	2006	sport_6
athlete_031567	France	NA	2007	sport_7
athlete_031568	Soviet Union	NA	2008	sport_8
athlete_031569	Japan	Silver	2009	sport_9
athlete_031570	United States	Bronze	2010	sport_10
athlete_031571	Kenya	Silver	2011	sport_11
athlete_031572	Germany	NA	2012	sport_12
athlete_031573	United States	Gold	2013	sport_13
athlete_031574	Italy	NA	2014	sport_14
athlete_031575	Italy	Gold	2015	sport_15
athlete_031576	Soviet Union	NA	2016	sport_16
athlete_031577	France	NA	2017	sport_17
athlete_031578	Japan	Gold	2018	sport_18
athlete_031579	United States	NA	2019	sport_19
athlete_031580	Japan	NA	2000	sport_20
athlete_031581	Soviet Union	Silver	2001	sport_21
athlete_031582	Soviet Union	Bronze	2002	sport_22
athlete_031583	Soviet Union	Silver	2003	sport_23
athlete_031584	United States	Bronze	2004	sport_24
athlete_031585	United States	Gold	2005	sport_25
athlete_031586	Germany	Silver	2006	sport_26
athlete_031587	Soviet Union	NA	2007	sport_27
athlete_031588	United States	Gold	2008	sport_28
athlete_031589	Germany	NA	2009	sport_29
athlete_031590	Italy	Silver	2010	sport_30
athlete_031591	Soviet Union	NA	2011	sport_31
athlete_031592	Germany	Silver	2012	sport_32
athlete_031593	France	NA	2013	sport_33
athlete_031594	Germany	NA	2014	sport_34
athlete_031595	Soviet Union	Gold	2015	sport_35
athlete_031596	Soviet Union	NA	2016	sport_36
athlete_031597	United States	Gold	2017	sport_37
athlete_031598	Japan	NA	2018	sport_38
athlete_031599	France	Silver	2019	sport_39
athlete_031600	United States	Bronze	2000	sport_0
athlete_031601	Kenya	NA	2001	sport_1
athlete_031602	United States	NA	2002	sport_2
athlete_031603	United States	Gold	2003	sport_3
athlete_031604	Soviet Union	Gold	2004	sport_4
athlete_031605	France	NA	2005	sport_5
athlete_031606	France	NA	2006	sport_6
athlete_031607	Italy	NA	2007	sport_7
athlete_031608	Soviet Union	NA	2008	sport_8
athlete_031609	Kenya	Bronze	2009	sport_9
athlete_031610	United States	Silver	2010	sport_10
athlete_031611	Soviet Union	Bronze	2011	sport_11
athlete_031612	Germany	Bronze	2012	sport_12
athlete_031613	United States	Gold	2013	sport_13
athlete_031614	Germany	Gold	2014	sport_14
athlete_031615	Germany	Bronze	2015	sport_15
athlete_031616	Italy	Gold	2016	sport_16
athlete_031617	United States	NA	2017	sport_17
athlete_031618	Kenya	Gold	2018	sport_18
athlete_031619	France	Silver	2019	sport_19
athlete_031620	Soviet Union	NA	2000	sport_20
athlete_031621	Italy	Bronze	2001	sport_21
athlete_031622	Italy	Silver	2002	sport_22
athlete_031623	Japan	Gold	2003	sport_23
athlete_031624	Italy	Gold	2004	sport_24
athlete_031625	Kenya	NA	2005	sport_25
athlete_031626	Soviet Union	NA	2006	sport_26
athlete_031627	Soviet Union	NA	2007	sport_27
athlete_031628	Soviet Union	NA	2008	sport_28
athlete_031629	Italy	Gold	2009	sport_29
athlete_031630	Kenya	NA	2010	sport_30
athlete_031631	Kenya	Silver	2011	sport_31
athlete_031632	Japan	Bronze	2012	sport_32
athlete_031633	Soviet Union	NA	2013	sport_33
athlete_031634	Germany	Bronze	2014	sport_34
athlete_031635	Germany	NA	2015	sport_35
athlete_031636	Italy	Gold	2016	sport_36
athlete_031637	United States	Gold	2017	sport_37
athlete_031638	United States	NA	2018	sport_38
athlete_031639	Japan	Silver	2019	sport_39
athlete_031640	France	Silver	2000	sport_0
athlete_031641	United States	Gold	2001	sport_1
athlete_031642	United States	NA	2002	sport_2
athlete_031643	United States	NA	2003	sport_3
athlete_031644	Kenya	NA	2004	sport_4
athlete_031645	Italy	NA	2005	sport_5
athlete_031646	Germany	NA	2006	sport_6
athlete_031647	Italy	NA	2007	sport_7
athlete_031648	United States	Gold	2008	sport_8
athlete_031649	France	Bronze	2009	sport_9
athlete_031650	France	Silver	2010	sport_10
athlete_031651	United States	Bronze	2011	sport_11
athlete_031652	Japan	Bronze	2012	sport_12
athlete_031653	United States	Bronze	2013	sport_13
athlete_031654	United States	NA	2014	sport_14
athlete_031655	Germany	NA	2015	sport_15
athlete_031656	United States	NA	2016	sport_16
athlete_031657	France	Silver	2017	sport_17
athlete_031658	Germany	Bronze	2018	sport_18
athlete_031659	Japan	Bronze	2019	sport_19
athlete_031660	Germany	Bronze	2000	sport_20
athlete_031661	France	NA	2001	sport_21
athlete_031662	United States	Silver	2002	sport_22
athlete_031663	Japan	Silver	2003	sport_23
athlete_031664	Soviet Union	Silver	2004	sport_24
athlete_031665	Kenya	Silver	2005	sport_25
athlete_031666	Italy	Bronze	2006	sport_26
athlete_031667	United States	NA	2007	sport_27
